DATE,ATNHPIUS37964Q
1976-10-01,36.16
1977-01-01,35.91
1977-04-01,37.93
1977-07-01,37.46
1977-10-01,39.34
1978-01-01,40.06
1978-04-01,39.21
1978-07-01,38.26
1978-10-01,39.39
1979-01-01,41.10
1979-04-01,42.57
1979-07-01,42.95
1979-10-01,43.33
1980-01-01,45.22
1980-04-01,44.60
1980-07-01,46.53
1980-10-01,47.79
1981-01-01,48.35
1981-04-01,49.17
1981-07-01,50.11
1981-10-01,47.45
1982-01-01,49.58
1982-04-01,48.88
1982-07-01,48.83
1982-10-01,50.94
1983-01-01,52.45
1983-04-01,53.45
1983-07-01,54.62
1983-10-01,56.34
1984-01-01,55.03
1984-04-01,57.52
1984-07-01,58.64
1984-10-01,59.34
1985-01-01,59.86
1985-04-01,61.96
1985-07-01,63.52
1985-10-01,64.38
1986-01-01,66.09
1986-04-01,68.02
1986-07-01,71.05
1986-10-01,73.65
1987-01-01,75.99
1987-04-01,79.23
1987-07-01,83.39
1987-10-01,86.14
1988-01-01,89.06
1988-04-01,92.77
1988-07-01,94.79
1988-10-01,96.48
1989-01-01,97.06
1989-04-01,97.56
1989-07-01,100.52
1989-10-01,101.05
1990-01-01,101.93
1990-04-01,101.95
1990-07-01,102.08
1990-10-01,102.03
1991-01-01,102.23
1991-04-01,102.41
1991-07-01,102.81
1991-10-01,104.15
1992-01-01,104.54
1992-04-01,103.94
1992-07-01,104.47
1992-10-01,105.44
1993-01-01,104.94
1993-04-01,105.47
1993-07-01,105.47
1993-10-01,106.17
1994-01-01,105.77
1994-04-01,103.42
1994-07-01,102.34
1994-10-01,101.13
1995-01-01,100.00
1995-04-01,101.98
1995-07-01,103.81
1995-10-01,104.21
1996-01-01,105.25
1996-04-01,103.37
1996-07-01,102.34
1996-10-01,103.33
1997-01-01,103.66
1997-04-01,103.33
1997-07-01,104.15
1997-10-01,105.18
1998-01-01,107.15
1998-04-01,107.55
1998-07-01,106.90
1998-10-01,109.06
1999-01-01,109.79
1999-04-01,110.03
1999-07-01,110.83
1999-10-01,111.36
2000-01-01,111.73
2000-04-01,114.65
2000-07-01,115.77
2000-10-01,117.92
2001-01-01,121.34
2001-04-01,124.22
2001-07-01,127.31
2001-10-01,129.86
2002-01-01,132.86
2002-04-01,136.30
2002-07-01,140.70
2002-10-01,144.14
2003-01-01,146.59
2003-04-01,149.49
2003-07-01,153.80
2003-10-01,160.36
2004-01-01,164.54
2004-04-01,171.40
2004-07-01,181.23
2004-10-01,187.07
2005-01-01,192.58
2005-04-01,202.07
2005-07-01,210.19
2005-10-01,216.05
2006-01-01,219.74
2006-04-01,223.63
2006-07-01,226.42
2006-10-01,229.48
2007-01-01,231.50
2007-04-01,232.44
2007-07-01,232.74
2007-10-01,233.13
2008-01-01,234.13
2008-04-01,231.91
2008-07-01,228.50
2008-10-01,227.82
2009-01-01,229.35
2009-04-01,225.38
2009-07-01,220.97
2009-10-01,220.39
2010-01-01,219.46
2010-04-01,218.73
2010-07-01,220.60
2010-10-01,219.60
2011-01-01,215.06
2011-04-01,210.71
2011-07-01,211.92
2011-10-01,212.32
2012-01-01,211.24
2012-04-01,209.46
2012-07-01,209.76
2012-10-01,211.45
2013-01-01,210.81
2013-04-01,212.08
2013-07-01,213.15
2013-10-01,213.70
2014-01-01,214.87
2014-04-01,216.66
2014-07-01,218.08
2014-10-01,219.36
2015-01-01,222.23
2015-04-01,224.13
2015-07-01,224.41
2015-10-01,224.92
2016-01-01,227.50
2016-04-01,233.00
2016-07-01,237.31
2016-10-01,237.01
2017-01-01,240.89
2017-04-01,248.21
2017-07-01,253.62
2017-10-01,254.44
2018-01-01,258.49
